"Appeal Code","Appeal Type","Program Code","Drop Date","Fiscal Year","Start Date","Stop Date","Number Selected","Appeal Name","Appeal Cost"
"PHW3"," "," "," "," "," "," "," ","Western 3-8  year lapsed"," "
"ML49"," "," "," "," "," "," "," ","Class of 1949 Reunion"," "
"ML59"," "," "," "," "," "," "," ","Class of 1959 Reunion"," "
"ML69"," "," "," "," "," "," "," ","Class of 1969 Reunion"," "
"ML 79"," "," "," "," "," "," "," ","Class of 1979 Reunion"," "
"ML89"," "," "," "," "," "," "," ","Class of 1989 Reunion"," "
"ML99"," "," "," "," "," "," "," ","Class of 1999 Reunion"," "
"AW49"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW59"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW69"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW79"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW99"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW44"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW54"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW64"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW74"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW84"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW94"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"ML44"," "," "," "," "," "," "," ","Class of 1944 Reunion"," "
"ML54"," "," "," "," "," "," "," ","Class of 1954 Reunion"," "
"ML64"," "," "," "," "," "," "," ","Class of 1964 Reunion"," "
"ML74"," "," "," "," "," "," "," ","Class of 1974 Reunion"," "
"ML79"," "," "," "," "," "," "," ","Class of 1979 Reunion"," "
"ML84"," "," "," "," "," "," "," ","Class of 1984 Reunion"," "
"ML94"," "," "," "," "," "," "," ","Class of 1994 Reunion"," "
"SCGC"," "," "," "," "," "," "," ","Senior Gift Campaign"," "
"DE64"," "," "," "," "," "," "," ","Class of 1964 Tri Delta MEM"," "
"MLAW"," "," "," "," "," "," "," ","Alumni Weekend Mailing"," "
"MLPF"," "," "," "," "," "," "," ","Parents Fund"," "
"MLCA43"," "," "," "," "," "," "," ","'43 Class Agent Mailing"," "
"SC04"," "," "," "," "," "," "," ","Senior Gift Campaign 2004"," "
"MLCA48"," "," "," "," "," "," "," ","'48 Class Agent Mailing"," "
"MLCA53"," "," "," "," "," "," "," ","'53 Class Agent Mailing"," "
"MLCA58"," "," "," "," "," "," "," ","'58 Class Agent Mailing"," "
"MLCA63"," "," "," "," "," "," "," ","'63 Class Agent Mailing"," "
"MLCA68"," "," "," "," "," "," "," ","'68 Class Agent Mailing"," "
"MLCA73"," "," "," "," "," "," "," ","'73 Class Agent Mailing"," "
"MLCA78"," "," "," "," "," "," "," ","'78 Class Agent Mailing"," "
"MLCA83"," "," "," "," "," "," "," ","'83 Class Agent Mailing"," "
"MLCA88"," "," "," "," "," "," "," ","'88 Class Agent Mailing"," "
"MLCA93"," "," "," "," "," "," "," ","'93 Class Agent Mailing"," "
"MLCA98"," "," "," "," "," "," "," ","'98 Class Agent Mailing"," "
"MLCA03"," "," "," "," "," "," "," ","'03 Class Agent Mailing"," "
"CA43"," "," "," "," "," "," "," ","1943 Class Agent mailing"," "
"CA48"," "," "," "," "," "," "," ","1948 Class Agent mailing"," "
"CA53"," "," "," "," "," "," "," ","1953 Class Agent mailing"," "
"CA58"," "," "," "," "," "," "," ","1958 Class Agent mailing"," "
"CA63"," "," "," "," "," "," "," ","1963 Class Agent mailing"," "
"CA68"," "," "," "," "," "," "," ","1968 Class Agent mailing"," "
"CA73"," "," "," "," "," "," "," ","1973 Class Agent mailing"," "
"CA78"," "," "," "," "," "," "," ","1978 Class Agent mailing"," "
"CA83"," "," "," "," "," "," "," ","1983 Class Agent mailing"," "
"CA88"," "," "," "," "," "," "," ","1988 Class Agent mailing"," "
"CA93"," "," "," "," "," "," "," ","1993 Class Agent mailing"," "
"CA98"," "," "," "," "," "," "," ","1998 Class Agent mailing"," "
"ML1A"," "," "," "," "," "," "," ","1st General - Alumni Members"," "
"ML1PN"," "," "," "," "," "," "," ","lst General - non donor"," "
"ML1AN"," "," "," "," "," "," "," ","1st General-ND - Alum Members"," "
"PHM1"," "," "," "," "," "," "," ","MUAA Membership Phonathon"," "
"PHM2"," "," "," "," "," "," "," ","MUAA Membership Phonathon"," "
"PHM3"," "," "," "," "," "," "," ","MUAA Membership Phonathon"," "
"PHM4"," "," "," "," "," "," "," ","MUAA Membership Phonathon"," "
"PHM5"," "," "," "," "," "," "," ","MUAA Membership Phonathon"," "
"PHM6"," "," "," "," "," "," "," ","MUAA Membership Phonathon"," "
"PHPV"," "," "," "," "," "," "," ","Parent Volunteer - Callers"," "
"ML3L"," "," "," "," "," "," "," ","3rd General - lapsed"," "
"ML3A"," "," "," "," "," "," "," ","3rd Gen - Previous - AA Member"," "
"ML3AN"," "," "," "," "," "," "," ","3rd Gen - non donor-AA Member"," "
"PHHR"," "," "," "," "," "," "," ","Prodesse and President's Club"," "
"PHSC"," "," "," "," "," "," "," ","Second chance"," "
"PHDG"," "," "," "," "," "," "," ","Downgrades"," "
"AR03"," "," "," "," "," "," "," ","Annual Fund Rpt contribution"," "
"YA"," "," "," "," "," "," "," ","Young Alumni Non-Donors"," "
"ML4A"," "," "," "," "," "," "," ","4th General Previous AA member"," "
"ML4L"," "," "," "," "," "," "," ","4th General Lapsed donor"," "
"ML4AN"," "," "," "," "," "," "," ","4th General nondonor AA membr"," "
"ML4N"," "," "," "," "," "," "," ","4th General never givers"," "
"PHPC"," "," "," "," "," "," "," ","President Club Phonathon"," "
"PHPS"," "," "," "," "," "," "," ","Prodesse Society Phonathon"," "
"PHPR"," "," "," "," "," "," "," ","Prodesse Society Phonathon"," "
"CHDN"," "," "," "," "," "," "," ","Chemistry Dept. Newsletter"," "
"CA44"," "," "," "," "," "," "," ","1944 Class Agent mailing"," "
"CA49"," "," "," "," "," "," "," ","1949 Class Agent mailing"," "
"CA54"," "," "," "," "," "," "," ","1954 Class Agent mailing"," "
"CA59"," "," "," "," "," "," "," ","1959 Class Agent mailing"," "
"CA64"," "," "," "," "," "," "," ","1964 Class Agent mailing"," "
"CA69"," "," "," "," "," "," "," ","1969 Class Agent mailing"," "
"CA74"," "," "," "," "," "," "," ","1974 Class Agent mailing"," "
"CA79"," "," "," "," "," "," "," ","1979 Class Agent mailing"," "
"CA84"," "," "," "," "," "," "," ","1984 Class Agent mailing"," "
"CA89"," "," "," "," "," "," "," ","1989 Class Agent mailing"," "
"CA94"," "," "," "," "," "," "," ","1994 Class Agent mailing"," "
"CA99"," "," "," "," "," "," "," ","1999 Class Agent mailing"," "
"ML00"," "," "," "," "," "," "," ","Class of 2000 Reunion"," "
"PH00"," "," "," "," "," "," "," ","Class of 2000 Reunion"," "
"PHBR"," "," "," "," "," "," "," ","Black Alumni Reunion Phonathon"," "
"PHMR"," "," "," "," "," "," "," ","MUAA Membership Renewal"," "
"CA45"," "," "," "," "," "," "," ","1945 Class Agent mailing"," "
"CA50"," "," "," "," "," "," "," ","1950 Class Agent mailing"," "
"CA60"," "," "," "," "," "," "," ","1960 Class Agent mailing"," "
"CA70"," "," "," "," "," "," "," ","1970 Class Agent mailing"," "
"CA75"," "," "," "," "," "," "," ","1975 Class Agent mailing"," "
"CA80"," "," "," "," "," "," "," ","1980 Class Agent mailing"," "
"CA85"," "," "," "," "," "," "," ","1985 Class Agent mailing"," "
"CA90"," "," "," "," "," "," "," ","1990 Class Agent mailing"," "
"CA95"," "," "," "," "," "," "," ","1995 Class Agent mailing"," "
"CA00"," "," "," "," "," "," "," ","2000 Class Agent mailing"," "
"ML1S"," "," "," "," "," "," "," ","1st Senior Challenge"," "
"MLRC"," "," "," "," "," "," "," ","Reunion Committee Solcitation"," "
"PHSN"," "," "," "," "," "," "," ","Senior Challenge 2005"," "
"AWO5"," "," "," "," "," "," "," ","Reunion Weekend contrbution"," "
"AW05"," "," "," "," "," "," "," ","Reunion Weekend  contribution"," "
"AW00"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"45LM"," "," "," "," "," "," "," ","Class of 1945-Last minute"," "
"50LM"," "," "," "," "," "," "," ","Class of 1950-Last minute"," "
"MLS5Z"," "," "," "," "," "," "," ","Education - select mailing"," "
"PHLB"," "," "," "," "," "," "," ","Libraries"," "
"PHLL"," "," "," "," "," "," "," ","Lifetime Giving Society Lapsed"," "
"PHPA"," "," "," "," "," "," "," ","Parent Alumni"," "
"PH01"," "," "," "," "," "," "," ","Class of 2001 Reunion"," "
"WCBL"," "," "," "," "," "," "," ","Western College Bulletin"," "
"PHFA"," "," "," "," "," "," "," ","Former Athletes"," "
"MLDC"," "," "," "," "," "," "," ",""Doc" Cottrell Lecture Series"," "
"ML4PN"," "," "," "," "," "," "," ","4th General - lapsed l yr. +"," "
"CA65"," "," "," "," "," "," "," ","1965 Class Agent mailing"," "
"PHRY"," "," "," "," "," "," "," ","Reunion Year"," "
"CA53X"," "," "," "," "," "," "," ","1953 Class Annual Fund"," "
"ML02"," "," "," "," "," "," "," ","Class of 2002 Reunion"," "
"PH02"," "," "," "," "," "," "," ","Class of 2002 Reunion"," "
"ML01"," "," "," "," "," "," "," ","Class of 2001 Reunion"," "
"MLFA"," "," "," "," "," "," "," ","AD to Student Athletics"," "
"AW01"," "," "," "," "," "," "," ","Reunion Weekend Contribution"," "
"SC06"," "," "," "," "," "," "," ","Senior Gift Campaign 2006"," "
"PHCP"," "," "," "," "," "," "," ","Parents of current students"," "
"ML3PN"," "," "," "," "," "," "," ","3 rd General - lapsed l yr. +"," "
"MLMS"," "," "," "," "," "," "," ","Miami Student"," "
"CA55"," "," "," "," "," "," "," ","1955 Class Agent mailing"," "
"ML5ND"," "," "," "," "," "," "," ","5th General never givers"," "
"ML5PN"," "," "," "," "," "," "," ","5th General - lapsed 1 yr. +"," "
"MLW4"," "," "," "," "," "," "," ","Western - fourth mailing"," "
"SC07"," "," "," "," "," "," "," ","Senior Gift Campaign 2007"," "
"AW02"," "," "," "," "," "," "," ","Reunion Weekend Contribution"," "
"CA01"," "," "," "," "," "," "," ","2001 Class Agent Mailing"," "
"CA02"," "," "," "," "," "," "," ","2002 Class Agent Mailing"," "
"CA03"," "," "," "," "," "," "," ","2003 Class Agent Mailing"," "
"CA04"," "," "," "," "," "," "," ","2004 Class Agent Mailing"," "
"CA05"," "," "," "," "," "," "," ","2005 Class Agent Mailing"," "
"CA51"," "," "," "," "," "," "," ","1951 Class Agent Mailing"," "
"CA56"," "," "," "," "," "," "," ","1956 Class Agent Mailing"," "
"CA61"," "," "," "," "," "," "," ","1961 Class Agent Mailing"," "
"CA66"," "," "," "," "," "," "," ","1966 Class Agent Mailing"," "
"CA71"," "," "," "," "," "," "," ","1971 Class Agent Mailing"," "
"CA76"," "," "," "," "," "," "," ","1976 Class Agent Mailing"," "
"CA81"," "," "," "," "," "," "," ","1981 Class Agent Mailing"," "
"CA86"," "," "," "," "," "," "," ","1986 Class Agent Mailing"," "
"CA91"," "," "," "," "," "," "," ","1991 Class Agent Mailing"," "
"CA96"," "," "," "," "," "," "," ","1996 Class Agent Mailling"," "
"ML2PN"," "," "," "," "," "," "," ","2nd General Lapsed Donors"," "
"ML2PX"," "," "," "," "," "," "," ","2nd Gnrl Lapsed Donor CRE test"," "
"ML2PV"," "," "," "," "," "," "," ","2nd General Variable ask"," "
"CA46"," "," "," "," "," "," "," ","1946 Class Agent mailing"," "
"ILRC"," "," "," "," "," "," "," ","Learning in Retirement"," "
"RWGC"," "," "," "," "," "," "," ","Reunion Weekend Glee Club"," "
"MLGC"," "," "," "," "," "," "," ","Glee Club - 2007"," "
"GGLS"," "," "," "," "," "," "," ","Gill Gorden Lecture Series"," "
"08CR"," "," "," "," "," "," "," ","Class of 58 Scholarship"," "
"ML5PF"," "," "," "," "," "," "," ","5th General-First-Time Donors"," "
"PHNB"," "," "," "," "," "," "," ","Parents of Need Based Students"," "
"SL08"," "," "," "," "," "," "," ","Senior Legacy Campaign 2008"," "
"PH03"," "," "," "," "," "," "," ","Class of 2003 Reunion"," "
"ML63A"," "," "," "," "," "," "," ","Class of 63 Non Donors"," "
"ML63B"," "," "," "," "," "," "," ","Class of 63 Donors"," "
"MLTS"," "," "," "," "," "," "," ","Thomas Speh Endowed Chair"," "
"MLJV"," "," "," "," "," "," "," ","Joseph P. Veasey  Award"," "
"AW03"," "," "," "," "," "," "," ","Alumni Weekend Contribution"," "
"ML07"," "," "," "," "," "," "," ","Class of 2007 Reunion"," "
"ML03"," "," "," "," "," "," "," ","Class of 2003 Reunion"," "
"ML04"," "," "," "," "," "," "," ","Class of 2004 Reunion"," "
"ML05"," "," "," "," "," "," "," ","Class of 2005 Reunion"," "
"ML06"," "," "," "," "," "," "," ","Class of 2006 Reunion"," "
"CA532"," "," "," "," "," "," "," ","1953 Class Agent Mailing"," "
"CA482"," "," "," "," "," "," "," ","1948 Class Agent Mailing"," "
"CA432"," "," "," "," "," "," "," ","1943 Class Agent Mailing"," "
"BSCAW"," "," "," "," "," "," "," ","Bicenntial Student Ctr - A Wkn"," "
"MLVEA"," "," "," "," "," "," "," ","Joseph P. Veasey Award"," "
"AISC"," "," "," "," "," "," "," ","AIESEC Miami - endownment"," "
"ML43X"," "," "," "," "," "," "," ","Post-reunion follow-up"," "
"ML48X"," "," "," "," "," "," "," ","Post-reunion follow-up"," "
"ML53X"," "," "," "," "," "," "," ","Post-reunion follow-up"," "
"ML63X"," "," "," "," "," "," "," ","Post-reunion follow-up"," "
"ML73X"," "," "," "," "," "," "," ","Post-reunion follow-up"," "
"ML78X"," "," "," "," "," "," "," ","Post-reunion follow-up"," "
"ML83X"," "," "," "," "," "," "," ","Post-reunion follow-up"," "
"ML93X"," "," "," "," "," "," "," ","Post-reunion follow-up"," "
"ML98X"," "," "," "," "," "," "," ","Post-reunion follow-up"," "
"ML03X"," "," "," "," "," "," "," ","Post-reunion follow-up"," "
"BSC"," "," "," "," "," "," "," ","Bicentennial Student Center"," "
"CA07"," "," "," "," "," "," "," ","2007 Class Agent Mailing"," "
"MLKAP"," "," "," "," "," "," "," ","Kappa Alpha Psi Scholarship"," "
"MLDEC"," "," "," "," "," "," "," ","Dolibois European Center 40th"," "
"PHSP"," "," "," "," "," "," "," ","Ph group - High BB - unreached"," "
"VBSC"," "," "," "," "," "," "," ","BS Center - Vol Mgt Sys"," "
"MLMA"," "," "," "," "," "," "," ","Libraries Marian Musgrave"," "
"MLFT"," "," "," "," "," "," "," ","Previous year first time donor"," "
"MLRCM"," "," "," "," "," "," "," ","Regional Campus Mailing"," "
"BSCS"," "," "," "," "," "," "," ","BSC - Senior Legacy"," "
"BSCD"," "," "," "," "," "," "," ","BSC - Development"," "
"PHUR"," "," "," "," "," "," "," ","Phone - BSC Unrestricted"," "
"PHD7"," "," "," "," "," "," "," ","Sybunt 2005-7 multiple desg"," "
"PHD8"," "," "," "," "," "," "," ","Lybunt 2008 mulitiple desg"," "
"PHR8"," "," "," "," "," "," "," ","Lybunt 2008 RW"," "
"PHR7"," "," "," "," "," "," "," ","Sybunt 2005-7 RW"," "
"PHS7"," "," "," "," "," "," "," ","sybunt Single desg other 2005-"," "
"PHS8"," "," "," "," "," "," "," ","Lybunt single desg other 2008"," "
"PHAG"," "," "," "," "," "," "," ","AG Donor Pool"," "
"MLWB"," "," "," "," "," "," "," ","WMUB News Bureau"," "
"VOA1"," "," "," "," "," "," "," ","Voice of America - Pledge card"," "
"PHF8"," "," "," "," "," "," "," ","Lybunt 2008 Miami Fund"," "
"PHCR"," "," "," "," "," "," "," ","Class Reunion 2009"," "
"AW04"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AWBSC"," "," "," "," "," "," "," ","Alumni Wknd BSC Contribution"," "
"AW06"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW07"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW08"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW09"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"MLCA"," "," "," "," "," "," "," ","Class Agent Mailing"," "
"PHMP"," "," "," "," "," "," "," ","Released Managed Prospects AF"," "
"AW09R"," "," "," "," "," "," "," ","Alumni Weekend Registration"," "
"AW09L"," "," "," "," "," "," "," ","Alumni Weekend 59 Luncheon"," "
"MLS8"," "," "," "," "," "," "," ","MUM Dean's Fund"," "
"PHAW"," "," "," "," "," "," "," ","Alumni Weekend 2009 Follow-up"," "
"MLKS"," "," "," "," "," "," "," ","Karal Scholarship Recipient"," "
"PH1R"," "," "," "," "," "," "," ","RWC - Donors Since Jun 2005"," "
"PH2R"," "," "," "," "," "," "," ","CIA Donors since Jun 2005"," "
"PH3R"," "," "," "," "," "," "," ","Season Tckt Holders since 2005"," "
"PHRN"," "," "," "," "," "," "," ","Red  & White Non Donor"," "
"ML1T"," "," "," "," "," "," "," ","1st General  - non donor"," "
"ML1Z"," "," "," "," "," "," "," ","lst General - non donor"," "
"PHB+"," "," "," "," "," "," "," ","Bishop plus"," "
"MLRV"," "," "," "," "," "," "," ","Red & White renewals November"," "
"PHR1"," "," "," "," "," "," "," ","Red & White $500 plus"," "
"MLOL"," "," "," "," "," "," "," ","Bruce Olson Innovation Fund"," "
"MLRD"," "," "," "," "," "," "," ","Red & White renewals December"," "
"PHNR"," "," "," "," "," "," "," ","Western nondonors Reunions"," "
"MLS7"," "," "," "," "," "," "," ","Graduate School"," "
"WS01"," "," "," "," "," "," "," ","Western - Special"," "
"AW42"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"PHU8"," "," "," "," "," "," "," ","post 40-year reunion"," "
"PHU9"," "," "," "," "," "," "," ","post 45-year reunion"," "
"PHU0"," "," "," "," "," "," "," ","post 50-year reunion"," "
"MLCR"," "," "," "," "," "," "," ","Class Reunions Year-End"," "
"MLD4"," "," "," "," "," "," "," ","Geography"," "
"PHX1"," "," "," "," "," "," "," ","Non-donors group 1"," "
"MLD6"," "," "," "," "," "," "," ","Mathematics"," "
"MLD7"," "," "," "," "," "," "," ","Microbiology"," "
"MLD8"," "," "," "," "," "," "," ","Music"," "
"MLD9"," "," "," "," "," "," "," ","Zoology"," "
"MLA1"," "," "," "," "," "," "," ","Arts & Science English"," "
"WCPE"," "," "," "," "," "," "," ","WC Program Endowment"," "
"PHLD"," "," "," "," "," "," "," ","3-8 Year Lapsed"," "
"PHT3"," "," "," "," "," "," "," ","pre 15-year reunion"," "
"PHT4"," "," "," "," "," "," "," ","pre 20-year reunion"," "
"PHT5"," "," "," "," "," "," "," ","pre 25-year reunion"," "
"PHT6"," "," "," "," "," "," "," ","pre 30-year reunion"," "
"PHT7"," "," "," "," "," "," "," ","pre 35-year reunion"," "
"PHT8"," "," "," "," "," "," "," ","pre 40-year reunion"," "
"PHT9"," "," "," "," "," "," "," ","pre 45-year reunion"," "
"PHT0"," "," "," "," "," "," "," ","pre 50-year reunion"," "
"PHU3"," "," "," "," "," "," "," ","post l5-year reunion"," "
"PHU4"," "," "," "," "," "," "," ","post 20-year reunion"," "
"PHU5"," "," "," "," "," "," "," ","post 25-year reunion"," "
"PHU6"," "," "," "," "," "," "," ","post 30-year reunion"," "
"PHU7"," "," "," "," "," "," "," ","post 35-year reunion"," "
"PHX2"," "," "," "," "," "," "," ","Non-donors group 2"," "
"PHX3"," "," "," "," "," "," "," ","Non-donors group 3"," "
"PHX4"," "," "," "," "," "," "," ","Non-donors  Group 4"," "
"PHWU"," "," "," "," "," "," "," ","WCAA Upgrades"," "
"PHRR"," "," "," "," "," "," "," ","R & W Renewals"," "
"MLBP"," "," "," "," "," "," "," ","Bishop Potential B+"," "
"PHOD"," "," "," "," "," "," "," ","Other donors"," "
"PHRC"," "," "," "," "," "," "," ","R & W Coaches Follow Up"," "
"MLAR"," "," "," "," "," "," "," ","Annual Fund Report gifts"," "
"RBSE"," "," "," "," "," "," "," ","Former Athletes - Baseball"," "
"RMBK"," "," "," "," "," "," "," ","Frmr Athletes/Basketball (Men)"," "
"MLJZ"," "," "," "," "," "," "," ","Jazz Band Alumni"," "
"CA42"," "," "," "," "," "," "," ","1942 Class Agent mailing"," "
"RFTB"," "," "," "," "," "," "," ","Former Athletes - Football"," "
"RGLF"," "," "," "," "," "," "," ","Former Athletes - Golf"," "
"CA47"," "," "," "," "," "," "," ","1947 Class Agent mailing"," "
"RSYN"," "," "," "," "," "," "," ","Frmr Athl/Synchrnzd  Skating"," "
"RWSC"," "," "," "," "," "," "," ","Former Athletes/Soccer (Women)"," "
"CA52"," "," "," "," "," "," "," ","1952 Class Agent mailng"," "
"RMSD"," "," "," "," "," "," "," ","Frmr Athl/Swimming/Diving-Men"," "
"RWSD"," "," "," "," "," "," "," ","Frmr Athl/Swim/Diving (Women)"," "
"RTEN"," "," "," "," "," "," "," ","Former Athletes/Tennis (Women)"," "
"RMTF"," "," "," "," "," "," "," ","Frmr Athl/Track & Field/CC-Men"," "
"RWTF"," "," "," "," "," "," "," ","Frmr Athl/Trck & Fld/CC/Women"," "
"CA57"," "," "," "," "," "," "," ","1957 Class Agent mailing"," "
"PHWY"," "," "," "," "," "," "," ","Western Two Year Lapsed"," "
"PVHO"," "," "," "," "," "," "," ","Personal Visit Heather Owen"," "
"ML3Z"," "," "," "," "," "," "," ","3rd General - younger donors"," "
"PVJW"," "," "," "," "," "," "," ","Personal Vistit Judy Waldron"," "
"MLMC"," "," "," "," "," "," "," ","Mallory Center"," "
"PHDF"," "," "," "," "," "," "," ","Donors - Friends"," "
"PH52"," "," "," "," "," "," "," ","Class of 1952 Reunion"," "
"PH57"," "," "," "," "," "," "," ","Class of 1957 Reunion"," "
"PH62"," "," "," "," "," "," "," ","Class of 1962 Reunion"," "
"PH72"," "," "," "," "," "," "," ","Class of 1972 Reunion"," "
"PH77"," "," "," "," "," "," "," ","Class of 1977 Reunion"," "
"PH82"," "," "," "," "," "," "," ","Class of 1982 Reunion"," "
"PH87"," "," "," "," "," "," "," ","Class of 1987 Reunion"," "
"PH92"," "," "," "," "," "," "," ","Class of 1992 Reunion"," "
"PH97"," "," "," "," "," "," "," ","Class of 1997 Reunion"," "
"ML4Z"," "," "," "," "," "," "," ","4th General - non donors"," "
"MLAD"," "," "," "," "," "," "," ","Parents "After Dark""," "
"PH67"," "," "," "," "," "," "," ","Class of 1967 Reunion"," "
"ML42"," "," "," "," "," "," "," ","Class of 1942 Reunion"," "
"ML47"," "," "," "," "," "," "," ","Class of 1947 Reunion"," "
"ML52"," "," "," "," "," "," "," ","Class of 1952 Reunion"," "
"ML57"," "," "," "," "," "," "," ","Class of 1957 Reunion"," "
"ML62"," "," "," "," "," "," "," ","Class of 1962 Reunion"," "
"ML67"," "," "," "," "," "," "," ","Class of 1967 Reunion"," "
"ML72"," "," "," "," "," "," "," ","Class of 1972 Reunion"," "
"ML77"," "," "," "," "," "," "," ","Class of 1977 Reuinion"," "
"ML82"," "," "," "," "," "," "," ","Class of 1982 Reunion"," "
"ML92"," "," "," "," "," "," "," ","Class of 1992 Reunion"," "
"ML97"," "," "," "," "," "," "," ","Class of 1997 Reunion"," "
"MLRJ"," "," "," "," "," "," "," ","Red & White renewals January"," "
"MLRF"," "," "," "," "," "," "," ","Red & White renewals February"," "
"MLRM"," "," "," "," "," "," "," ","Red & White renewals March"," "
"MLRA"," "," "," "," "," "," "," ","Red & White renewals April"," "
"MLFS"," "," "," "," "," "," "," ","Faculty/Staff Solicitation"," "
"MLRU"," "," "," "," "," "," "," ","Red & White renewals June"," "
"MLRG"," "," "," "," "," "," "," ","Red & White renewals August"," "
"MLRL"," "," "," "," "," "," "," ","Red & White renewals July"," "
"MLRS"," "," "," "," "," "," "," ","Red & White renewals September"," "
"CA62"," "," "," "," "," "," "," ","1962 Class Agent mailing"," "
"CA67"," "," "," "," "," "," "," ","1967 Class Agent mailing"," "
"MLR5"," "," "," "," "," "," "," ","Red & White renewals May"," "
"MLR1"," "," "," "," "," "," "," ","RW Former Athlete"," "
"SC02"," "," "," "," "," "," "," ","Senior Gift Campaign 2002"," "
"MLEM"," "," "," "," "," "," "," ","Emeriti Mailing"," "
"MLIE"," "," "," "," "," "," "," ","Institute of Environmt Science"," "
"CA72"," "," "," "," "," "," "," ","1972 Class Agent mailing"," "
"ML87"," "," "," "," "," "," "," ","Class of 1987 Reunion"," "
"MLCL"," "," "," "," "," "," "," ","Choraliers"," "
"PHPD"," "," "," "," "," "," "," ","Participant Donors"," "
"MLMP"," "," "," "," "," "," "," ","Myrtis Powell Fund"," "
"PHRB"," "," "," "," "," "," "," ","Red & White Two Year Lapsed"," "
"MLWC"," "," "," "," "," "," "," ","Western - Reunion Classes"," "
"PHWR"," "," "," "," "," "," "," ","Western Reunion"," "
"AW47"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW52"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW57"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW62"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW67"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW72"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW77"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW82"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW87"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW92"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW97"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW48"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW37"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"PHPG"," "," "," "," "," "," "," ","Parents of Recent Grads"," "
"CA77"," "," "," "," "," "," "," ","1977 Class Agent mailing"," "
"CA82"," "," "," "," "," "," "," ","1982 Class Agent mailing"," "
"CA87"," "," "," "," "," "," "," ","1987 Class Agent mailing"," "
"CA92"," "," "," "," "," "," "," ","1992 Class Agent mailing"," "
"CA97"," "," "," "," "," "," "," ","1997 Class Agent mailing"," "
"MLP7"," "," "," "," "," "," "," ","High-potential parents"," "
"PH58"," "," "," "," "," "," "," ","Class of 1958 Reunion"," "
"PH53"," "," "," "," "," "," "," ","Class of 1953 Reunion"," "
"PH63"," "," "," "," "," "," "," ","Class of 1963 Reunion"," "
"PH68"," "," "," "," "," "," "," ","Class of 1968 Reunion"," "
"PH73"," "," "," "," "," "," "," ","Class of 1973 Reunion"," "
"PH78"," "," "," "," "," "," "," ","Class of 1978 Reunion"," "
"PH83"," "," "," "," "," "," "," ","Class of 1983 Reunion"," "
"PH88"," "," "," "," "," "," "," ","Class of 1988 Reunion"," "
"PH93"," "," "," "," "," "," "," ","Class of 1993 Reunion"," "
"PH98"," "," "," "," "," "," "," ","Class of 1998 Reunion"," "
"MLR2"," "," "," "," "," "," "," ","RW Former Mens TEN,SOC,WRS"," "
"SC03"," "," "," "," "," "," "," ","Senior Gift Campaign 2003"," "
"PHTT"," "," "," "," "," "," "," ","Towers no pre-phone"," "
"AW43"," "," "," "," "," "," "," ","Reunion Weekend contributuion"," "
"AW53"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW58"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW63"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW68"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW73"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW78"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW83"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW88"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
