"Appeal Code","Appeal Type","Program Code","Drop Date","Fiscal Year","Start Date","Stop Date","Number Selected","Appeal Name","Appeal Cost"
"S1"," "," "," "," "," "," "," ","Fine Arts"," "
"S2"," "," "," "," "," "," "," ","Business"," "
"S3"," "," "," "," "," "," "," ","Applied Science"," "
"S4"," "," "," "," "," "," "," ","Arts & Science"," "
"S5"," "," "," "," "," "," "," ","Education"," "
"S6"," "," "," "," "," "," "," ","Interdisciplinary Studies"," "
"TA"," "," "," "," "," "," "," ","Former Bishop Society"," "
"TC"," "," "," "," "," "," "," ","1809 (9-1-88 to 12-31-88)"," "
"TD"," "," "," "," "," "," "," ","'77-'84 Previous Donors"," "
"TE"," "," "," "," "," "," "," ","Classes '77-'84 Non Donor"," "
"TF"," "," "," "," "," "," "," ","Heritage (9-1-88/12-31-88"," "
"TG"," "," "," "," "," "," "," ","Phonathon-New Grads"," "
"TH"," "," "," "," "," "," "," ","Towers (1-1-88 to 8-31-88"," "
"TI"," "," "," "," "," "," "," ","2nd Half Towers"," "
"TJ"," "," "," "," "," "," "," ","TP&TN Spring 88-Yes's"," "
"TK"," "," "," "," "," "," "," ","Previous 1991 Donors"," "
"TL"," "," "," "," "," "," "," ","Phonathon Two Year Lapsed"," "
"TM"," "," "," "," "," "," "," ","1991 Non-Donors"," "
"TN"," "," "," "," "," "," "," ","Phonathon Never Givers"," "
"TP"," "," "," "," "," "," "," ","Phonathon Previous Givers"," "
"TQ"," "," "," "," "," "," "," ","Q#86, Will Consider Sp'88"," "
"TR"," "," "," "," "," "," "," ","Towers Club-2nd Half"," "
"TS"," "," "," "," "," "," "," ","Heritage (1-1-88/8-31-88)"," "
"TU"," "," "," "," "," "," "," ","1809 Club 1-1-88/8-31-88"," "
"TY"," "," "," "," "," "," "," ","Previous 9/1 to 12/89"," "
"TZ"," "," "," "," "," "," "," ","65-70 Non Donors"," "
"T1"," "," "," "," "," "," "," ","Q#16-T2&T3 Spring 89-Fall"," "
"T2"," "," "," "," "," "," "," ","Phonathon Lapsed"," "
"T3"," "," "," "," "," "," "," ","Phonathon Non-Donors"," "
"T5"," "," "," "," "," "," "," ","Q#105, M&L Non-Donors"," "
"T6"," "," "," "," "," "," "," ","Q#106, M&L Previous Donors"," "
"T7"," "," "," "," "," "," "," ","Phonathon-Class of 57 R"," "
"T8"," "," "," "," "," "," "," ","Phonathon-Class of 67 R"," "
"T9"," "," "," "," "," "," "," ","Phonathon-Class of 82 R"," "
"UU"," "," "," "," "," "," "," ","Pulp and Paper"," "
"U1"," "," "," "," "," "," "," ","Pre-Reunion 1995"," "
"U2"," "," "," "," "," "," "," ","Pre-Reunion 1990"," "
"U5"," "," "," "," "," "," "," ","Pre-Reunion 1975"," "
"U9"," "," "," "," "," "," "," ","Pre-Reunion 1955"," "
"VE"," "," "," "," "," "," "," ","Black McGuffey Schp"," "
"WA"," "," "," "," "," "," "," ","Western Annual Fund"," "
"WC"," "," "," "," "," "," "," ","WC Class Reunion Appeal"," "
"WE"," "," "," "," "," "," "," ","WC Endowment Appeal"," "
"WM"," "," "," "," "," "," "," ","WMUB"," "
"WR"," "," "," "," "," "," "," ","Red & White Newsletter"," "
"WS"," "," "," "," "," "," "," ","Western Reunion"," "
"W1"," "," "," "," "," "," "," ","WC First Appeal"," "
"W2"," "," "," "," "," "," "," ","WC Second Appeal"," "
"W3"," "," "," "," "," "," "," ","WC Third Appeal"," "
"YR"," "," "," "," "," "," "," ","Red & White Year-in Mail"," "
"ZM"," "," "," "," "," "," "," ","Misc/Mail-No From in Bre"," "
"ZZ"," "," "," "," "," "," "," ","Miscellaneous"," "
"1A"," "," "," "," "," "," "," ","Old Classes"," "
"1B"," "," "," "," "," "," "," ","Two Year Lapsed"," "
"1C"," "," "," "," "," "," "," ","Previous Years"," "
"1D"," "," "," "," "," "," "," ","2 Years Previous-No Pho"," "
"1G"," "," "," "," "," "," "," ","New Grads"," "
"1H"," "," "," "," "," "," "," ","Heritage Club"," "
"1N"," "," "," "," "," "," "," ","1st General Non-Donors"," "
"1P"," "," "," "," "," "," "," ","1st General Previous Don"," "
"1R"," "," "," "," "," "," "," ","1st General Recent Donors"," "
"1S"," "," "," "," "," "," "," ","1st Senior Challenge"," "
"1T"," "," "," "," "," "," "," ","Towers Club"," "
"2A"," "," "," "," "," "," "," ","Black Prev/Donors Mailing"," "
"2B"," "," "," "," "," "," "," ","Black Non Donors Mailing"," "
"2G"," "," "," "," "," "," "," ","2nd General 1987 Graduate"," "
"2N"," "," "," "," "," "," "," ","2nd General Non Donors"," "
"2P"," "," "," "," "," "," "," ","2nd General Previous Don"," "
"2R"," "," "," "," "," "," "," ","2nd General Sybunt"," "
"2S"," "," "," "," "," "," "," ","2nd Senior Challenge"," "
"2V"," "," "," "," "," "," "," ","2nd General/1960 Thru 1996"," "
"2Y"," "," "," "," "," "," "," ","Gave in 1993 but not in 1"," "
"2Z"," "," "," "," "," "," "," ","2nd Gen/90's Nondonors"," "
"3A"," "," "," "," "," "," "," ","Black Prev/Donors Mailing"," "
"3B"," "," "," "," "," "," "," ","Black Non Donors Mailing"," "
"3G"," "," "," "," "," "," "," ","New Grads/Third General"," "
"3M"," "," "," "," "," "," "," ","3rd Gen Previous Donors"," "
"3N"," "," "," "," "," "," "," ","3rd General Non-Donors"," "
"3P"," "," "," "," "," "," "," ","3rd General 1981 and earlier"," "
"3R"," "," "," "," "," "," "," ","3rd Gen Recent Non-Donors"," "
"3S"," "," "," "," "," "," "," ","3rd Senior Challenge"," "
"3X"," "," "," "," "," "," "," ","3rd General Non-Donors"," "
"3Z"," "," "," "," "," "," "," ","3rd General 1982 to present"," "
"4A"," "," "," "," "," "," "," ","Black/Prev Donors Mailing"," "
"4B"," "," "," "," "," "," "," ","Black/Non Donors Mailing"," "
"4G"," "," "," "," "," "," "," ","4th General New Grads"," "
"4M"," "," "," "," "," "," "," ","4th Gen/Previous Phon"," "
"4N"," "," "," "," "," "," "," ","4th General Non-Donors"," "
"4P"," "," "," "," "," "," "," ","4th General Previous Don"," "
"4R"," "," "," "," "," "," "," ","4th Gen Recent Non-Donors"," "
"4S"," "," "," "," "," "," "," ","4th Gen Senior Challenge"," "
"4X"," "," "," "," "," "," "," ","4th Gen/Non Donors Phon"," "
"42"," "," "," "," "," "," "," ","Class of 1942-50 Year Reunion"," "
"43"," "," "," "," "," "," "," ","Class of 1943-50 Year Reunion"," "
"44"," "," "," "," "," "," "," ","Class of 1944-50 Year Reunion"," "
"45"," "," "," "," "," "," "," ","Class of 1945-50 Year Reunion"," "
"46"," "," "," "," "," "," "," ","Class of 1946-50 Year Reunion"," "
"47"," "," "," "," "," "," "," ","Class of 1947-50 Year Reunion"," "
"48"," "," "," "," "," "," "," ","Class of 1948-50 Year Reunion"," "
"49"," "," "," "," "," "," "," ","Class of 1949-50 Year Reunion"," "
"5A"," "," "," "," "," "," "," ","Black/Prev Donors Mailing"," "
"5D"," "," "," "," "," "," "," ","5th General Endowment for"," "
"5G"," "," "," "," "," "," "," ","5th General New Grads"," "
"5M"," "," "," "," "," "," "," ","5th Gen/Previous Phon"," "
"5N"," "," "," "," "," "," "," ","5th General Non-Donors"," "
"5P"," "," "," "," "," "," "," ","5th General Previous Donors"," "
"5R"," "," "," "," "," "," "," ","5th Gen Recent Non-Donors"," "
"5S"," "," "," "," "," "," "," ","5th Gen Senior Challenge"," "
"5X"," "," "," "," "," "," "," ","5th Gen/Non Donors Phon"," "
"52"," "," "," "," "," "," "," ","Class of 1952-45 Year Reunion"," "
"53"," "," "," "," "," "," "," ","Class of 1953-40 Year Reunion"," "
"54"," "," "," "," "," "," "," ","Class of 1954-40 Year Reunion"," "
"55"," "," "," "," "," "," "," ","Class of 1955-40 Year Reunion"," "
"56"," "," "," "," "," "," "," ","Class of 1956-40 Year Reunion"," "
"57"," "," "," "," "," "," "," ","Class of 1957-40 Year Reunion"," "
"58"," "," "," "," "," "," "," ","Class of 1958-35 Year Reunion"," "
"59"," "," "," "," "," "," "," ","Class of 1959-30 Year Reunion"," "
"6B"," "," "," "," "," "," "," ","Spcl Mail (TA Bishop)"," "
"6E"," "," "," "," "," "," "," ","Spcl Mail (1809 Club)"," "
"6H"," "," "," "," "," "," "," ","Spcl Mail (Heritage Club)"," "
"6M"," "," "," "," "," "," "," ","Spcl Mail (M&L T5/T6)"," "
"6P"," "," "," "," "," "," "," ","6th General Previous Dono"," "
"6T"," "," "," "," "," "," "," ","Spcl Mail (Towers Club)"," "
"60"," "," "," "," "," "," "," ","Class of 1960-35 Year Reunion"," "
"61"," "," "," "," "," "," "," ","Class of 1961-35 Year Reunion"," "
"62"," "," "," "," "," "," "," ","Class of 1962-35 Year Reunion"," "
"63"," "," "," "," "," "," "," ","Class of 1963-35 Year Reunion"," "
"64"," "," "," "," "," "," "," ","Class of 1964 Reunion"," "
"67"," "," "," "," "," "," "," ","Class of 1967-30 Year Reunion"," "
"68"," "," "," "," "," "," "," ","Class of 1968-25 Year Reunion"," "
"69"," "," "," "," "," "," "," ","Class of 1969-25 Year Reunion"," "
"70"," "," "," "," "," "," "," ","Class of 1970-25 Year Reunion"," "
"71"," "," "," "," "," "," "," ","Class of 1971-25 Year Reunion"," "
"72"," "," "," "," "," "," "," ","Class of 1972-25 Year Reunion"," "
"73"," "," "," "," "," "," "," ","Class of 1973-25 Year Reunion"," "
"74"," "," "," "," "," "," "," ","Class of 1974"," "
"78"," "," "," "," "," "," "," ","Class of 1978-20 Year Reunion"," "
"79"," "," "," "," "," "," "," ","1979 Class Reunion"," "
"82"," "," "," "," "," "," "," ","Class of 1982-10 Year Reunion"," "
"83"," "," "," "," "," "," "," ","Class of 1983-15 Year Reunion"," "
"84"," "," "," "," "," "," "," ","Class of 1984-10 Year Reunion"," "
"85"," "," "," "," "," "," "," ","Class of 1995-10 Year Reunion"," "
"86"," "," "," "," "," "," "," ","Class of 1986-10 Year Reunion"," "
"87"," "," "," "," "," "," "," ","Class of 1987-10 Year Reunion"," "
"88"," "," "," "," "," "," "," ","Class of 1988-10 Year Reunion"," "
"89"," "," "," "," "," "," "," ","Class of 1989-10 Year Reunion"," "
"90"," "," "," "," "," "," "," ","Senior Challenge 1990"," "
"91"," "," "," "," "," "," "," ","Senior Challenge 1991"," "
"92"," "," "," "," "," "," "," ","Senior Challenge 1992"," "
"94"," "," "," "," "," "," "," ","Class of 1994"," "
"MLB1"," "," "," "," "," "," "," ","Bishop Society Mailing"," "
"MLCP"," "," "," "," "," "," "," ","Paid up Presidents Club"," "
"MLPB"," "," "," "," "," "," "," ","Prodesse - Bishop"," "
"MLPC"," "," "," "," "," "," "," ","Presidents Club"," "
"MLP6"," "," "," "," "," "," "," ","Parents Council"," "
"MLS1"," "," "," "," "," "," "," ","Fine Arts"," "
"MLS2"," "," "," "," "," "," "," ","Business"," "
"MLS3"," "," "," "," "," "," "," ","Applied science"," "
"MLS4"," "," "," "," "," "," "," ","Arts & Science"," "
"MLS5"," "," "," "," "," "," "," ","Education"," "
"MLS6"," "," "," "," "," "," "," ","Interdisciplinary Studies"," "
"ML1P"," "," "," "," "," "," "," ","1st General Previous Donor"," "
"ML2P"," "," "," "," "," "," "," ","2nd General Previous Donor"," "
"ML3P"," "," "," "," "," "," "," ","3rd General Previous Donor"," "
"ML4P"," "," "," "," "," "," "," ","4th General Previous Donor"," "
"ML5P"," "," "," "," "," "," "," ","5th General Previous Donor"," "
"ML6P"," "," "," "," "," "," "," ","6th General Previous Donor"," "
"ML60"," "," "," "," "," "," "," ","Class of 1960 Reunion"," "
"PH60"," "," "," "," "," "," "," ","Class of 1960 Reunion"," "
